language,language_code,original_slogan,translated_slogan
Spanish,es,Academic Community. Connected.,Comunidad Académica. Conectado.
Spanish,es,"Your Daily Coffee, Elevated.","Tu café diario, elevado."
Spanish,es,Evian: Elevate Your,Evian: eleva tu
Spanish,es,DueProps: Unpre,DueProps: no pre
Spanish,es,"Future, Defined.","Futuro, definido."
French,fr,Academic Community. Connected.,Communauté académique. Connecté.
French,fr,"Your Daily Coffee, Elevated.","Votre café quotidien, élevé."
French,fr,Evian: Elevate Your,Evian : Élevez votre
French,fr,DueProps: Unpre,DueProps : Unpre
French,fr,"Future, Defined.","Futur, défini."
German,de,Academic Community. Connected.,Akademische Gemeinschaft. Verbunden.
German,de,"Your Daily Coffee, Elevated.","Ihr täglicher Kaffee, gehoben."
German,de,Evian: Elevate Your,Evian: Erhöhen Sie Ihr
German,de,DueProps: Unpre,DueProps: Unpre
German,de,"Future, Defined.","Zukunft, definiert."
Italian,it,Academic Community. Connected.,Comunità accademica. Collegato.
Italian,it,"Your Daily Coffee, Elevated.","Il tuo caffè quotidiano, elevato."
Italian,it,Evian: Elevate Your,Evian: Eleva il tuo
Italian,it,DueProps: Unpre,DueProps: Impre
Italian,it,"Future, Defined.","Futuro, definito."
Portuguese,pt,Academic Community. Connected.,Comunidade Acadêmica. Conectado.
Portuguese,pt,"Your Daily Coffee, Elevated.","Seu café diário, elevado."
Portuguese,pt,Evian: Elevate Your,Evian: Eleve seu
Portuguese,pt,DueProps: Unpre,DueProps: Despreparado
Portuguese,pt,"Future, Defined.","Futuro, definido."
